	sourceLang	targetLang	F1	precision	recall	baseline?
0	en	am	0.9953444600105286	0.9956976175308228	0.9949925541877747	baseline
1	en	ar	0.8208942413330078	0.8343432545661926	0.8090224266052246	baseline
2	en	bn	0.8853610754013062	0.8926196098327637	0.8788328170776367	baseline
3	en	ckb	0.8716980218887329	0.9010896682739258	0.8451439142227173	baseline
4	en	fa	0.8857108354568481	0.8874393701553345	0.8839936256408691	baseline
5	en	fr	0.8577755093574524	0.8702014684677124	0.8468858599662781	baseline
6	en	ha	0.901421844959259	0.9043135643005371	0.8989617228507996	baseline
7	en	hi	0.9464832544326782	0.9470022320747375	0.9461072087287903	baseline
8	en	id	0.9125767946243286	0.9130908846855164	0.912214457988739	baseline
9	en	km	0.9773210287094116	0.9764751195907593	0.9781745672225952	baseline
10	en	lg	0.8374875783920288	0.8473464250564575	0.8282882571220398	baseline
11	en	ln	0.8162924647331238	0.8255594372749329	0.807414174079895	baseline
12	en	mr	0.8555105924606323	0.8675957918167114	0.8440324664115906	baseline
13	en	ms	0.8910012245178223	0.9034695625305176	0.8789779543876648	baseline
14	en	my	0.7955764532089233	0.8064071536064148	0.7851405739784241	baseline
15	en	ne	0.8686648607254028	0.8624990582466125	0.8752915263175964	baseline
16	en	om	0.805346667766571	0.7895479202270508	0.8222358822822571	baseline
17	en	ps	0.8459887504577637	0.8623806834220886	0.8305084109306335	baseline
18	en	pt-BR	0.9304277300834656	0.9322040677070618	0.9287577867507935	baseline
19	en	ru	0.8227125406265259	0.8316323161125183	0.8140772581100464	baseline
20	en	so	0.8277937173843384	0.8201203346252441	0.8359715342521667	baseline
21	en	sw	0.8081730604171753	0.8324397802352905	0.7858365178108215	baseline
22	en	ta	0.9006975293159485	0.9090836644172668	0.8927848935127258	baseline
23	en	ti-er	0.9618926048278809	0.9600160717964172	0.9639166593551636	baseline
24	en	ti	0.9486600756645203	0.9519384503364563	0.9455849528312683	baseline
25	en	tl	0.9066699743270874	0.9126312136650085	0.9010801315307617	baseline
26	en	ur	0.9351617693901062	0.9438255429267883	0.9270160794258118	baseline
27	en	zu	0.8420341610908508	0.8373449444770813	0.8469828367233276	baseline
28	en	zh	0.8579646944999695	0.863323986530304	0.8533865213394165	baseline
