	sourceLang	targetLang	F1	precision	recall	baseline?
0	en	am	0.7893925905227661	0.7550901770591736	0.8270460367202759	no baseline
1	en	ar	0.8106164932250977	0.7833123207092285	0.8404229879379272	no baseline
2	en	bn	0.8329331278800964	0.8101021647453308	0.8573335409164429	no baseline
3	en	es-419	0.7897242307662964	0.7547026872634888	0.8285228610038757	no baseline
4	en	fa	0.8129286766052246	0.7808881998062134	0.8483172655105591	no baseline
5	en	fr	0.7984768152236938	0.7714688181877136	0.8278390169143677	no baseline
6	en	ha	0.7008969187736511	0.6863306164741516	0.7165321111679077	no baseline
7	en	hi	0.8360093832015991	0.8124906420707703	0.8617080450057983	no baseline
8	en	id	0.8257564306259155	0.7878012657165527	0.8677460551261902	no baseline
9	en	km	0.7627615332603455	0.7230479121208191	0.8072417378425598	no baseline
10	en	ln	0.7773043513298035	0.7536743879318237	0.8030134439468384	no baseline
11	en	mr	0.8049585223197937	0.7875961065292358	0.823267936706543	no baseline
12	en	ms	0.799121081829071	0.7689940333366394	0.831902027130127	no baseline
13	en	my	0.7424468994140625	0.7396966218948364	0.7463915944099426	no baseline
14	en	ne	0.8068084716796875	0.7808319926261902	0.8352905511856079	no baseline
15	en	prs	0.7705355882644653	0.7477098703384399	0.7956406474113464	no baseline
16	en	ps	0.7794495224952698	0.7605856657028198	0.7997664213180542	no baseline
17	en	pt-BR	0.8252497911453247	0.78990238904953	0.8643181920051575	no baseline
18	en	ru	0.7989096641540527	0.7788297533988953	0.8203297853469849	no baseline
19	en	so	0.7645698189735413	0.7430949807167053	0.7874902486801147	no baseline
20	en	sw	0.7379753589630127	0.725227415561676	0.7514519691467285	no baseline
21	en	ta	0.8292070627212524	0.7974772453308105	0.8636393547058105	no baseline
22	en	ti-er	0.7827742695808411	0.7476270794868469	0.8217870593070984	no baseline
23	en	ti	0.7899748682975769	0.7597059607505798	0.8231313824653625	no baseline
24	en	ur	0.8518177270889282	0.8182380795478821	0.8888136148452759	no baseline
25	en	zh	0.7746012806892395	0.7385116815567017	0.8151235580444336	no baseline
26	en	zu	0.7429190874099731	0.7206329107284546	0.7668194770812988	no baseline
27	en	ti-er	0.7827742695808411	0.7476270794868469	0.8217870593070984	no baseline
28	en	ti	0.8061395883560181	0.7752196192741394	0.8398551940917969	no baseline
